,EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,31-35,36-43,44+,No,Yes,Travel_Frequently,Travel_Rarely,Research & Development,Sales,Life Sciences,Marketing,Medical,Other,Technical Degree,Male
392,522,44+,No,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,5,Research Director,1,Married,19406,4,No,11,3,3,1,24,4,2,4,2,1,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
393,523,31-35,No,Non-Travel,Sales,4,4,Marketing,3,Female,3,2,Sales Executive,3,Married,6538,9,No,15,3,1,1,6,3,3,3,2,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
394,524,18-30,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,3,2,Manufacturing Director,1,Married,4306,1,No,12,3,2,1,13,5,1,13,10,3,12,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
395,525,36-43,No,Travel_Frequently,Research & Development,21,3,Medical,4,Male,3,1,Laboratory Technician,4,Married,2258,7,No,20,4,1,1,8,1,3,3,2,1,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
396,526,36-43,No,Travel_Rarely,Research & Development,8,4,Other,3,Female,3,2,Healthcare Representative,3,Divorced,4522,4,Yes,14,3,4,0,8,3,3,5,2,0,2,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
397,527,18-30,No,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,2,Sales Executive,4,Single,4487,1,Yes,11,3,2,0,5,3,3,5,4,1,3,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
398,529,36-43,No,Non-Travel,Research & Development,25,5,Medical,2,Female,3,2,Research Scientist,3,Married,4449,3,Yes,15,3,1,2,15,2,3,13,11,10,7,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
399,530,18-30,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,Married,2218,1,No,12,3,3,1,4,3,3,4,2,3,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
400,531,36-43,No,Travel_Frequently,Research & Development,1,1,Life Sciences,2,Male,3,5,Manager,3,Divorced,19197,1,Yes,14,3,3,1,21,3,3,21,8,1,6,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
401,532,44+,No,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,4,4,Sales Executive,1,Married,13212,9,No,11,3,4,3,36,0,2,7,7,7,7,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
402,533,18-30,No,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,3,2,Sales Executive,3,Single,6577,0,No,11,3,2,0,6,6,3,5,4,4,4,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
403,534,36-43,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,4,3,Sales Executive,1,Married,8392,1,No,16,3,3,1,10,2,3,10,7,0,7,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
404,536,18-30,No,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,4558,1,No,12,3,4,1,10,2,3,10,0,1,8,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
405,538,18-30,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,Male,3,1,Laboratory Technician,1,Married,4031,5,No,13,3,3,1,6,5,3,2,2,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
406,543,44+,No,Travel_Rarely,Research & Development,3,3,Medical,4,Male,2,3,Manufacturing Director,3,Married,7969,2,Yes,14,3,3,0,28,4,3,5,4,0,4,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
407,544,44+,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,3,1,Research Scientist,4,Married,2654,3,No,21,4,4,2,8,3,2,2,2,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
408,546,44+,No,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,3,4,Manager,4,Married,16555,2,No,13,3,4,0,31,2,1,5,2,1,4,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
409,547,36-43,No,Travel_Frequently,Research & Development,29,2,Life Sciences,1,Female,3,2,Research Scientist,3,Divorced,4556,2,No,11,3,2,1,19,3,3,5,4,0,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
410,548,18-30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,Single,6091,2,No,20,4,3,0,11,2,3,5,4,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
411,549,44+,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,5,Manager,1,Married,19566,5,No,11,3,4,0,33,5,1,29,8,11,10,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
412,550,44+,No,Travel_Rarely,Research & Development,18,3,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,4810,2,No,14,3,3,1,19,5,2,10,7,0,8,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
413,551,36-43,No,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,Married,4523,0,No,11,3,4,3,7,4,4,6,5,0,4,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
414,554,18-30,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,3202,1,Yes,16,3,2,0,6,4,3,5,3,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
415,555,31-35,Yes,Travel_Frequently,Sales,6,2,Marketing,4,Female,1,1,Sales Representative,3,Divorced,2351,0,No,16,3,4,1,3,3,2,2,2,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
416,556,36-43,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1702,1,Yes,23,4,3,1,1,3,3,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
417,558,36-43,No,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,3,5,Manager,3,Married,18041,0,No,14,3,4,0,21,2,3,20,15,1,12,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
418,560,18-30,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,2886,1,No,22,4,2,2,3,3,1,3,2,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
419,562,18-30,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,2097,4,No,15,3,3,1,9,3,1,5,3,1,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
420,564,18-30,No,Travel_Rarely,Research & Development,3,4,Medical,2,Male,2,3,Research Director,3,Married,11935,1,No,18,3,3,0,10,2,3,10,2,0,7,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
421,565,18-30,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,3,Female,2,1,Research Scientist,2,Married,2546,5,No,16,3,2,0,6,2,4,2,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
422,566,18-30,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,2564,1,No,12,3,3,0,1,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
423,567,18-30,No,Non-Travel,Sales,22,4,Other,3,Female,3,3,Sales Executive,1,Married,8412,0,No,11,3,3,0,10,3,3,9,8,7,8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
424,568,44+,No,Travel_Rarely,Sales,29,3,Marketing,1,Male,2,4,Manager,4,Divorced,14118,3,No,12,3,3,1,32,3,2,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
425,569,44+,No,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,2,4,Manager,3,Married,17046,0,No,15,3,2,1,28,2,3,27,10,15,7,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
426,571,18-30,No,Non-Travel,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,0,No,14,3,3,0,12,2,2,11,7,6,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
427,573,44+,No,Travel_Frequently,Sales,28,3,Marketing,3,Female,2,3,Sales Executive,1,Married,10266,4,No,19,3,4,0,22,5,4,18,13,13,11,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
428,574,44+,No,Travel_Rarely,Research & Development,2,2,Medical,1,Female,3,2,Manufacturing Director,4,Divorced,5070,5,No,13,3,3,3,20,2,3,5,0,0,4,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
429,575,44+,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,3,4,Research Director,3,Married,17861,6,No,13,3,3,0,26,2,1,3,2,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
430,577,31-35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,Single,4230,0,No,15,3,3,0,6,2,3,5,4,4,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
431,578,44+,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Single,3780,7,No,11,3,3,0,19,3,3,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
432,579,31-35,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,2768,3,No,12,3,3,1,14,3,3,7,3,5,7,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
433,580,44+,No,Travel_Rarely,Sales,10,3,Marketing,3,Female,2,3,Sales Executive,4,Married,9071,2,Yes,19,3,3,1,15,3,3,3,2,1,2,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
434,581,18-30,No,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,10648,1,No,25,4,4,1,13,6,4,13,8,0,8,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
435,582,31-35,Yes,Travel_Rarely,Research & Development,15,1,Medical,2,Male,3,3,Manager,3,Married,13610,7,Yes,12,3,4,0,15,2,4,7,6,7,7,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
436,584,31-35,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,1,Laboratory Technician,4,Divorced,3408,7,No,13,3,1,3,8,2,3,4,3,1,3,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
437,585,18-30,No,Travel_Rarely,Sales,7,1,Marketing,4,Male,3,1,Sales Representative,2,Single,2983,0,No,14,3,1,0,4,3,3,3,2,1,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
438,586,31-35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,4,Male,3,3,Healthcare Representative,3,Married,7632,4,Yes,12,3,3,0,10,2,3,8,7,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
439,587,18-30,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,1,Male,3,3,Healthcare Representative,3,Married,9824,3,No,12,3,1,0,12,2,3,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
440,590,31-35,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,2,Female,3,3,Human Resources,1,Divorced,9950,9,Yes,15,3,3,3,11,2,3,3,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
441,591,36-43,No,Travel_Frequently,Research & Development,5,2,Other,2,Male,3,1,Laboratory Technician,3,Married,2093,4,No,17,3,4,1,8,4,3,2,2,2,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
442,592,31-35,No,Non-Travel,Sales,10,4,Medical,2,Male,3,3,Sales Executive,4,Single,9980,1,No,14,3,4,0,10,3,2,10,3,9,7,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
443,593,18-30,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,2,1,Laboratory Technician,3,Single,3894,5,No,16,3,3,0,4,3,3,2,2,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
444,595,44+,No,Travel_Rarely,Sales,2,5,Marketing,2,Female,3,2,Sales Executive,4,Married,4051,2,No,14,3,1,1,14,2,3,9,7,6,7,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
445,597,44+,No,Travel_Rarely,Sales,18,5,Life Sciences,1,Female,3,4,Manager,2,Single,16835,3,No,23,4,4,0,37,2,3,10,9,7,7,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
446,599,36-43,No,Non-Travel,Sales,10,2,Life Sciences,4,Male,3,2,Sales Executive,4,Single,6230,7,No,14,3,4,0,16,3,3,14,3,1,10,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
447,600,31-35,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,3,2,Sales Executive,3,Married,4717,9,No,11,3,3,0,15,2,3,11,9,6,9,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
448,601,36-43,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,3,4,Manufacturing Director,3,Single,13237,7,No,15,3,3,0,22,3,3,20,6,5,13,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
449,602,36-43,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Female,3,1,Laboratory Technician,3,Married,3755,1,No,11,3,1,1,8,3,3,8,3,0,7,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
450,604,18-30,No,Travel_Rarely,Sales,2,1,Life Sciences,2,Male,3,2,Sales Executive,4,Single,6582,4,Yes,13,3,3,0,10,2,4,6,5,0,5,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
451,605,36-43,No,Travel_Rarely,Research & Development,24,3,Medical,4,Male,3,3,Manufacturing Director,1,Married,7406,1,Yes,21,4,4,1,10,5,2,10,9,5,8,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
452,606,44+,No,Travel_Rarely,Sales,2,3,Other,4,Male,3,2,Sales Executive,2,Married,4805,0,No,19,3,2,1,9,3,4,8,7,3,7,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1
453,608,18-30,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,2,Female,3,1,Human Resources,3,Divorced,2741,0,Yes,11,3,2,1,8,2,2,7,7,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
454,611,18-30,No,Travel_Rarely,Research & Development,19,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Divorced,4262,4,No,12,3,2,2,8,2,4,3,2,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
455,612,31-35,No,Travel_Rarely,Research & Development,1,5,Medical,1,Female,4,4,Research Director,3,Divorced,16184,4,No,19,3,3,1,10,2,3,6,1,0,5,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
456,613,18-30,No,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,2,3,Manager,4,Divorced,11557,9,No,21,4,3,1,10,3,2,5,4,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
457,614,18-30,Yes,Travel_Frequently,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1878,1,Yes,14,3,4,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
458,615,36-43,No,Non-Travel,Sales,28,3,Other,3,Male,1,3,Sales Executive,1,Divorced,10932,3,No,15,3,3,1,20,2,3,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
459,616,36-43,No,Non-Travel,Research & Development,2,4,Other,1,Female,2,2,Healthcare Representative,3,Single,6811,2,Yes,17,3,1,0,10,3,3,8,7,0,7,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
460,618,18-30,No,Travel_Rarely,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,4306,5,No,12,3,1,2,8,5,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
461,620,31-35,No,Travel_Rarely,Sales,1,3,Medical,1,Female,3,2,Sales Executive,3,Single,4859,1,No,16,3,4,0,5,3,3,5,4,0,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
462,621,31-35,No,Travel_Rarely,Sales,21,4,Life Sciences,4,Male,4,2,Sales Executive,4,Single,5337,1,No,12,3,4,0,10,3,3,10,7,5,7,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
463,622,18-30,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,2340,1,Yes,18,3,2,0,1,3,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
464,623,36-43,No,Travel_Rarely,Research & Development,1,3,Technical Degree,2,Female,3,3,Manufacturing Director,4,Single,7491,4,No,17,3,4,0,12,3,4,6,5,1,2,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
465,624,44+,No,Travel_Frequently,Research & Development,18,1,Medical,1,Female,3,3,Healthcare Representative,3,Married,10527,5,No,11,3,4,0,28,3,2,2,2,1,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
466,625,36-43,No,Travel_Rarely,Sales,2,5,Life Sciences,2,Female,3,4,Manager,1,Married,16595,7,No,16,3,2,1,22,2,3,18,16,11,8,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
467,626,36-43,No,Non-Travel,Sales,9,4,Medical,1,Male,3,3,Sales Executive,2,Divorced,8834,1,No,13,3,4,1,9,6,3,9,5,7,7,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
468,630,44+,No,Travel_Rarely,Research & Development,6,2,Technical Degree,4,Male,3,2,Research Scientist,1,Divorced,5577,3,Yes,12,3,2,2,18,3,3,10,9,6,9,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
469,631,31-35,Yes,Non-Travel,Sales,11,4,Other,4,Male,4,2,Sales Executive,3,Married,4707,8,No,12,3,4,0,6,2,3,4,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
470,632,18-30,No,Travel_Frequently,Sales,24,3,Medical,4,Male,3,1,Sales Representative,4,Married,2400,0,No,13,3,3,2,3,3,3,2,2,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
471,634,36-43,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,2,Healthcare Representative,3,Married,9824,3,No,19,3,3,1,18,4,3,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
472,635,36-43,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,2,Manufacturing Director,2,Married,6447,6,No,12,3,2,1,8,2,2,6,5,4,3,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
473,638,44+,No,Travel_Rarely,Research & Development,18,4,Life Sciences,4,Male,2,5,Research Director,3,Divorced,19502,1,Yes,17,3,3,1,31,5,3,31,9,0,9,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
474,639,18-30,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,4,1,Research Scientist,4,Married,2725,1,Yes,11,3,2,2,6,3,3,6,5,1,4,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
475,641,18-30,No,Travel_Rarely,Sales,28,2,Marketing,1,Male,3,2,Sales Executive,2,Married,6272,1,No,20,4,4,2,6,5,4,5,3,1,4,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
476,643,18-30,No,Travel_Rarely,Research & Development,17,2,Other,4,Male,2,1,Laboratory Technician,2,Married,2127,1,No,21,4,4,1,1,2,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
477,644,44+,No,Travel_Frequently,Human Resources,3,3,Medical,1,Male,3,5,Manager,2,Married,18200,1,No,11,3,3,1,32,2,3,32,5,10,7,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
478,645,18-30,No,Travel_Rarely,Sales,13,1,Medical,2,Male,3,1,Sales Representative,3,Married,2096,1,No,11,3,3,0,7,1,3,7,4,0,6,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
479,647,18-30,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Female,3,1,Laboratory Technician,3,Married,2886,1,Yes,16,3,4,1,6,4,3,6,3,1,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
480,648,18-30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,2,Male,2,1,Sales Representative,1,Married,2033,1,No,18,3,3,1,1,2,4,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
481,649,31-35,No,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,2,1,Research Scientist,4,Married,3622,1,Yes,13,3,4,1,6,3,3,6,5,1,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
482,650,18-30,Yes,Travel_Rarely,Sales,13,4,Medical,2,Male,3,2,Sales Executive,1,Divorced,4233,2,No,17,3,3,0,9,2,1,3,1,1,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
483,652,31-35,No,Travel_Rarely,Research & Development,25,2,Other,1,Male,2,2,Laboratory Technician,4,Single,3681,4,No,14,3,4,0,9,3,3,3,2,0,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1
484,653,18-30,No,Travel_Rarely,Sales,6,4,Medical,1,Male,4,2,Sales Executive,4,Divorced,5460,4,No,22,4,4,2,13,4,4,7,7,5,7,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
485,655,18-30,No,Travel_Rarely,Research & Development,6,4,Medical,1,Female,2,1,Research Scientist,3,Divorced,2187,0,No,12,3,3,2,6,5,2,5,3,0,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
486,656,36-43,No,Travel_Rarely,Sales,2,3,Marketing,4,Male,3,2,Sales Executive,3,Married,9602,4,Yes,11,3,3,1,17,3,2,3,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
487,657,18-30,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,1,Research Scientist,2,Single,2836,1,No,13,3,4,0,1,0,4,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
488,659,36-43,No,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Female,3,2,Healthcare Representative,4,Married,4089,1,No,13,3,2,2,10,4,3,10,2,2,2,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
489,661,36-43,No,Travel_Rarely,Research & Development,6,4,Other,2,Male,2,4,Research Director,4,Divorced,16627,4,Yes,14,3,3,1,21,3,2,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
490,662,36-43,No,Travel_Rarely,Research & Development,1,1,Life Sciences,3,Female,3,1,Research Scientist,1,Single,2619,3,No,17,3,4,0,8,3,2,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
491,663,36-43,No,Travel_Frequently,Research & Development,9,5,Medical,4,Male,3,2,Laboratory Technician,3,Divorced,5679,3,Yes,13,3,2,1,10,3,3,8,7,4,7,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
492,664,44+,No,Travel_Rarely,Research & Development,1,4,Life Sciences,4,Female,2,4,Manager,1,Married,15402,7,No,11,3,1,1,21,3,1,3,2,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
493,665,36-43,No,Travel_Rarely,Human Resources,1,4,Life Sciences,1,Female,2,2,Human Resources,3,Single,5985,4,No,11,3,2,0,10,1,4,2,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
494,666,31-35,No,Travel_Rarely,Sales,14,3,Technical Degree,3,Female,3,1,Sales Representative,3,Divorced,2579,1,Yes,18,3,4,2,8,3,3,8,2,0,6,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
495,667,18-30,Yes,Travel_Rarely,Sales,2,1,Marketing,3,Male,3,1,Sales Representative,1,Divorced,3041,0,No,11,3,2,1,5,3,3,4,3,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
496,669,18-30,No,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,3,1,Sales Representative,3,Single,3447,1,No,11,3,3,0,3,2,3,3,2,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
497,671,36-43,No,Travel_Rarely,Research & Development,3,4,Other,4,Male,3,5,Manager,4,Married,19513,4,Yes,12,3,1,1,26,2,4,2,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
498,675,18-30,No,Travel_Rarely,Research & Development,6,1,Medical,1,Male,3,1,Research Scientist,3,Married,2773,0,No,20,4,4,0,3,3,3,2,2,2,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
499,677,31-35,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,3,Divorced,7104,0,No,12,3,4,0,6,3,3,5,0,1,2,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
500,679,31-35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,Female,3,2,Research Scientist,4,Married,6322,1,Yes,12,3,4,1,6,2,2,6,4,0,5,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
501,680,18-30,No,Travel_Frequently,Research & Development,3,3,Medical,3,Female,3,1,Research Scientist,3,Divorced,2083,1,No,20,4,3,1,1,2,3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
502,682,44+,No,Travel_Rarely,Sales,1,1,Medical,4,Female,3,2,Sales Executive,1,Single,8381,7,No,20,4,4,0,18,2,4,14,7,8,10,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
503,683,31-35,No,Travel_Rarely,Research & Development,1,5,Life Sciences,2,Male,3,1,Research Scientist,4,Married,2691,1,No,12,3,4,1,10,4,2,10,9,8,8,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
504,684,44+,Yes,Travel_Frequently,Sales,26,4,Life Sciences,1,Female,3,2,Sales Executive,1,Married,4286,2,No,14,3,4,2,5,4,3,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
505,686,18-30,No,Travel_Rarely,Research & Development,6,3,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,2659,1,Yes,13,3,3,1,3,2,3,3,2,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
506,689,36-43,No,Travel_Rarely,Research & Development,3,3,Other,3,Male,3,3,Manufacturing Director,3,Married,9434,1,No,15,3,3,1,10,2,3,10,7,7,8,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
507,690,18-30,No,Travel_Rarely,Sales,3,2,Medical,2,Female,3,2,Sales Executive,3,Married,5561,1,No,14,3,1,1,6,5,2,6,0,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
508,691,31-35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,2,Male,1,2,Research Scientist,4,Single,6646,1,No,13,3,2,0,17,3,3,17,11,11,8,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
509,692,31-35,No,Travel_Frequently,Research & Development,6,3,Life Sciences,3,Male,3,2,Healthcare Representative,4,Divorced,7725,3,No,23,4,3,1,15,2,1,13,11,4,7,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
510,698,44+,No,Travel_Rarely,Human Resources,19,4,Medical,3,Male,3,3,Human Resources,2,Married,10725,2,No,15,3,3,1,16,1,4,9,7,7,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
